N п/п из Перечня,Группа продукции,Структурный элемент или объект,Пункт/статья в ТР ТС,Пункт/раздел стандарта,Обозначение и наименование стандарта
1,Изделия для ухода за детьми,"токсикологические показатели, индекс токсичности",статья 4 ,,"МУ 1.1.037-95 ""Биотестирование продукции из полимерных и других материалов"""
2,Изделия для ухода за детьми,"токсикологические показатели, индекс токсичности",статья 4 ,,"МР N 29 ФЦ/2688-03 ""Экспресс-метод оценки токсичности проб воздуха по водорастворимым компонентам с использованием в качестве тест-объекта спермы крупного рогатого скота"""
3,Изделия для ухода за детьми,"токсикологические показатели, индекс токсичности",статья 4 ,,"ГОСТ ISO 10993-10-2011 ""Изделия медицинские. Оценка биологического действия медицинских изделий. Часть 10. Исследования раздражающего и сенсибилизирующего действия"""
4,Изделия для ухода за детьми,"токсикологические показатели, индекс токсичности",статья 4 ,,"Инструкция N 1.1.11-12-35-2004 ""Требования к постановке экспериментальных исследований для первичной токсикологической оценки и гигиенической регламентации веществ"""
5,Изделия для ухода за детьми,"токсикологические показатели, индекс токсичности",статья 4 ,,"ГОСТ 32893-2014 ""Продукция парфюмерно-косметическая. Методы оценки токсикологических и клинико-лабораторных показателей безопасности"""
6,Изделия для ухода за детьми,"токсикологические показатели, индекс токсичности",статья 4 ,,"ГОСТ 33506-2015 ""Продукция парфюмерно-косметическая. Методы определения оценки токсикологических показателей безопасности"""
7,Изделия для ухода за детьми,изменение pH водной вытяжки,статьи 4 ,пункт 6.5 ,"ГОСТ Р 52557-2020 ""Подгузники детские. Общие технические условия"""
8,Изделия для ухода за детьми,изменение pH водной вытяжки,статьи 4 ,пункт 5.1.2,"""МУ по санитарно-химическому исследованию детских латексных сосок и баллончиков сосок-пустышек"" от 19.10.90"
9,Изделия для ухода за детьми,изменение pH водной вытяжки,статьи 4 ,,"ПНД Ф 14.1:2:3:4.121-97 ""Количественный химический анализ вод. Методика выполнения измерений pH в водах потенциометрическим методом"" (свидетельство об аттестации N 222.0015/RA.RU.311866/2018 от 28.02.2018; номер в Федеральном реестре ФР.1.31.2018.30110)"
10,Изделия для ухода за детьми,отбор проб,статья 4 ,,"ГОСТ 18321-73 ""Статистический контроль качества. Методы случайного отбора выборок штучной продукции"""
11,Изделия для ухода за детьми,отбор проб,статья 4 ,,"ГОСТ Р 50779.12-2021 ""Статистические методы. Статистический контроль качества. Методы случайного отбора выборок штучной продукции"""
12,Изделия для ухода за детьми,отбор проб,статья 4 ,п. 2.6,"""МУ по санитарно-химическому исследованию детских латексных сосок и баллончиков сосок-пустышек"" от 19.10.90"
13,Изделия для ухода за детьми,отбор проб,статья 4 ,п. 1.10,"МР N 29 ФЦ/1683 от 14.05.2001 ""Дополнение N 1 к Методическим указаниям по санитарно-гигиенической оценке резиновых и латексных изделий медицинского назначения"""
